Method 1,Method 2,P-value,Adjusted P-value
ANOVA F,Random,0.0,0.0
ANOVA F,ElasticNet,6.412202101855135e-307,1.5114476382944247e-306
ANOVA F,GBM,0.0,0.0
ANOVA F,GENBAIT,0.0,0.0
ANOVA F,Ridge,2.5078013540105587e-213,5.0156027080211174e-213
ANOVA F,RF,0.0,0.0
ANOVA F,XGB,2.3271174015607708e-05,2.4379325159208073e-05
ANOVA F,Neural Network,2.698860474956159e-155,4.947910870752959e-155
ANOVA F,Chi-Squared,1.2220951824725905e-48,1.6131656408638195e-48
ANOVA F,Mutual Info,1.4589076600048376e-54,2.0059980325066517e-54
ANOVA F,Lasso,7.29020278148185e-302,1.6591495985441454e-301
Random,ElasticNet,0.0,0.0
Random,GBM,0.0,0.0
Random,GENBAIT,0.0,0.0
Random,Ridge,0.0,0.0
Random,RF,0.0,0.0
Random,XGB,0.0,0.0
Random,Neural Network,0.0,0.0
Random,Chi-Squared,0.0,0.0
Random,Mutual Info,0.0,0.0
Random,Lasso,0.0,0.0
ElasticNet,GBM,1.8238826779356134e-14,2.0754527024784567e-14
ElasticNet,GENBAIT,8.73034267860268e-27,1.0670418829403274e-26
ElasticNet,Ridge,5.250172112175346e-14,5.87307388819615e-14
ElasticNet,RF,6.469986913078223e-57,9.283024701373101e-57
ElasticNet,XGB,0.0,0.0
ElasticNet,Neural Network,8.489158598705334e-17,9.852663692773005e-17
ElasticNet,Chi-Squared,2.0685571845216452e-141,3.6898587615791514e-141
ElasticNet,Mutual Info,0.0,0.0
ElasticNet,Lasso,0.023206540128608368,0.02356356382289465
GBM,GENBAIT,0.0010244876893049282,0.0010565029295957072
GBM,Ridge,1.78569690469021e-51,2.405224402235793e-51
GBM,RF,8.509118643758505e-17,9.852663692773005e-17
GBM,XGB,0.0,0.0
GBM,Neural Network,3.160754587154136e-55,4.438506441535595e-55
GBM,Chi-Squared,1.6807207260526663e-232,3.578308642563741e-232
GBM,Mutual Info,0.0,0.0
GBM,Lasso,6.050189224425733e-24,7.26022706931088e-24
GENBAIT,Ridge,6.988542863812739e-69,1.0249862866925351e-68
GENBAIT,RF,3.7401852887687394e-06,3.981487565463497e-06
GENBAIT,XGB,0.0,0.0
GENBAIT,Neural Network,5.960358366213757e-72,9.148457027211814e-72
GENBAIT,Chi-Squared,9.475004540078113e-252,2.084500998817185e-251
GENBAIT,Mutual Info,0.0,0.0
GENBAIT,Lasso,5.7082262674879116e-39,7.245056416426965e-39
Ridge,RF,8.282292415772985e-116,1.4016187165154281e-115
Ridge,XGB,4.7610933332015235e-223,9.819754999728142e-223
Ridge,Neural Network,0.04242847645230307,0.04242847645230307
Ridge,Chi-Squared,6.981475751111305e-72,1.0472213626666959e-71
Ridge,Mutual Info,0.0,0.0
Ridge,Lasso,4.1141609373043175e-09,4.451387243640737e-09
RF,XGB,0.0,0.0
RF,Neural Network,1.4107200422007233e-108,2.3276880696311935e-108
RF,Chi-Squared,0.0,0.0
RF,Mutual Info,0.0,0.0
RF,Lasso,5.756862810786402e-81,9.267145012485427e-81
XGB,Neural Network,1.1246749351068412e-167,2.1208155919157577e-167
XGB,Chi-Squared,2.93252635845993e-34,3.6518252765727434e-34
XGB,Mutual Info,9.515083429845515e-76,1.495227396118581e-75
XGB,Lasso,0.0,0.0
Neural Network,Chi-Squared,3.358007405942056e-45,4.3456566429838375e-45
Neural Network,Mutual Info,0.0,0.0
Neural Network,Lasso,2.247860328809442e-11,2.472646361690386e-11
Chi-Squared,Mutual Info,1.260501997957037e-182,2.44685681956366e-182
Chi-Squared,Lasso,1.820613355317731e-133,3.1621179329202695e-133
Mutual Info,Lasso,0.0,0.0
